id,provider_name,provider_url,category,free_tier_model_count_estimate,free_tier_details,credit_card_required,no_credit_card_free_access,free_models_examples,free_tier_limits,api_access_available,web_ui_access,access_type,research_notes,research_date,source_urls
1,OpenRouter,https://openrouter.ai,API Aggregator / Gateway,,"The honest version is less exciting but more useful: OpenRouter gives you free, no-credit-card access to dozens of large language models with zero cost per token - but “unlimited” isn’t the right word. You get 20 requests per minute and either 50 or 1,000 requests per day depending on whether you’ve 12 min read Executive Summary OpenRouter has emerged as the dominant aggregation layer for AI models, offering unified API access to over 600 models from dozens of providers. Its free tier—28 models ",No,Yes,"Mistral, DeepSeek","The honest version is less exciting but more useful: OpenRouter gives you free, no-credit-card access to dozens of large language models with zero cost per token - but “unlimited” isn’t the right word",Likely,Likely,API + Web,,2026-09-08,https://pinggy.io/blog/free_ai_model_apis_unlimited_tokens_openrouter/; https://zhcinstitute.com/research/openrouter-free-models-guide; https://aigeneratedapps.com/openrouter-api-key-free-tier-all-llms
2,Together AI,https://together.ai,API Aggregator / Gateway,,"Together credits are the unit used to measure and charge for usage of Together AI services on your account. Once purchased, credits can be used immediately for: ... - API requests - Dedicated model inference - Fine-tuning jobs - Evaluation jobs - All other Together AI services ... ## Free trial and Serverless models are the fastest way to run inference on Together. You call any supported model through a shared per-token API, with no provisioning, no replicas to size, and no minimum cost. Pay onl",No,Yes,"Llama 3.1 70B/405B, Mixtral 8x22B, DeepSeek-V2/V3, Falcon, CodeLlama, Gemma, Mistral, Phi, Solar, Qwen, Yi, all HuggingFace models","Free tier: $1 in free credits, serverless GPU inference at lowest market rates. No CC required for sign-up.",Likely,Likely,API + Web,,2026-09-08,https://docs.together.ai/docs/billing-credits; https://dev.to/build996/together-ai-free-api-run-llama-33-deepseek-r1-and-flux-image-generation-for-free-in-2026-19of
3,Groq,https://groq.com,API Aggregator / Gateway,,"free-model .com Models Providers Config Compare Glossary Home / Groq How to Get a Free Groq API Key (2026) 14 free models available — no credit card required. Get your Groq API key → On this page Overview Quick Start Models (14) Pricing & Limits Use Cases Limitations Get API key → Overview World's f FreeLLMAPI Models Pricing GitHub Go live Home / Models / Free Groq API Free Groq API Groq's blazing-fast LPU inference — GPT-OSS, Llama, Qwen and Whisper on a free developer tier. FreeLLMAPI is a fre",Yes,No,"Llama 4, Qwen, DeepSeek, Llama 3",free-model .com Models Providers Config Compare Glossary Home / Groq How to Get a Free Groq API Key (2026) 14 free models available — no credit card required. Get your Groq API key → On this page Over,Likely,Likely,API + Web,,2026-09-08,https://www.free-model.com/providers/groq; https://freellmapi.co/free-groq-api; https://community.groq.com/t/is-there-a-free-tier-and-what-are-its-limits/790
4,Fireworks AI,https://fireworks.ai,API Aggregator / Gateway,,"Fireworks AI gives new accounts $1 in free credits automatically. It’s small, but it’s real money on a fast inference platform, and “Fireworks AI free credits” are genuinely easy to claim (no card required). Solo developers testing an OpenAI-compatible endpoint, ML engineers comparing open-source mo",No,Yes,"Llama 3.1/3.2, Mixtral, Qwen 2.5, DeepSeek-V3, Falcon, Gemma, Mistral, Phi, Solar, Yi, CodeLlama, all open models","Free tier: trial credits available, fast inference on dedicated GPUs. No CC for trial sign-up.",Likely,Likely,API + Web,,2026-09-08,https://aicreditmart.com/ai-credits-providers/how-to-get-free-fireworks-ai-credits-for-new-users-2026; https://pricepertoken.com/endpoints/fireworks/free
5,Perplexity API,https://perplexity.ai,API Aggregator / Gateway,,"Plenty of tools dangle a free trial that wants your card on file and bills you the moment you forget to cancel. The picks below want none of that. You open a browser, you type, and the only thing standing between you and the model is a message counter. Where that counter sits, and what happens when Jul 4 **DeepSeek**chat.deepseek.comno card needed Full flagship model including the reasoning mode, on web and mobile. No published caps Data is processed in China and chats are used for training by d",Yes,No,DeepSeek,Free tier: limited Sonar/Sonar Pro API calls for free tier. No CC for basic. Paid for higher volume.,Likely,Likely,API + Web,,2026-09-08,https://benchr.org/articles/best-free-ai-no-subscription; https://getaitools.dev/guides/how-to-use-claude-api; https://toolchase.com/blog/free-ai-tools-no-credit-card
6,Anyscale,https://anyscale.com,API Aggregator / Gateway,,"Pricing summary Anyscale 2026 — ACU per-hour compute + RayTurbo runtime Hosted (Anyscale-managed VPC) + BYOC (your cloud); $100 free trial credit; annual commit discounts Developer $100 free credit Individual developers, proof-of-value Hosted From $0.0135 /hr (CPU) Teams running on Anyscale-managed infra Annual commit Enterprise BYOC Custom ACU + cloud Large orgs with cloud commits and SLAs GPU pe",No,Yes,"Llama 3.x, Mixtral, Mistral, Gemma, DeepSeek, Qwen, all open models via Ray Serve","Free tier: trial credits, pay-per-second GPU pricing. No CC for basic account.",Likely,Likely,API + Web,,2026-09-08,https://usagepricing.com/blueprint/anyscale; https://yangmao.ai/en/providers/anyscale/no-credit-card
7,Cerebras,https://cerebras.ai,API Aggregator / Gateway,,"Cerebras Inference offers flexible, transparent pricing designed for everyone—from startups to global enterprises. Free Trial Get started with $5 in free credit after creating an account. Prototype prompts, agents, and real-time apps before you spend a dollar. Get API Key Developer Self-serve pay-pe New accounts receive $5 in free credits after adding a verified payment method. These credits expire 30 days after they're granted and can be used across all public models. There is no charge until y",No,Yes,mpt,Free tier: trial credits for Cerebras Inference API. No CC for basic. Pay-per-token.,Likely,Likely,API + Web,,2026-09-08,https://cerebras.ai/inference; https://inference-docs.cerebras.ai/support/rate-limits; https://pricepertoken.com/endpoints/cerebras/free
8,DeepInfra,https://deepinfra.com,API Aggregator / Gateway,,"DeepInfra available models The DeepInfra models routable through this free, OpenAI-compatible gateway, with the exact ids you can pin. DeepInfra offers free trial credits rather than a standing free tier. Not currently configured 2 models trial tier Model id Pin it as meta-llama/Llama-3.3-70B-Instru",No,Yes,"Llama 3.x, Mixtral, DeepSeek, Falcon, Qwen, Gemma, Mistral, Phi, CodeLlama, Solar, Yi, all HF models","Free tier: trial credits available, pay-per-token pricing. No CC for basic account.",Likely,Likely,API + Web,,2026-09-08,https://dreamprompting.com/models/deepinfra; https://freellm.site/providers/deepinfra
9,Novita AI,https://novita.ai,API Aggregator / Gateway,,"By / May 24, 2025 / LLM / 5 minutes of reading To support the open-source AI community and accelerate innovation in natural language processing, Novita AI has made five powerful models freely accessible via API. These include the compact yet capable Llama 3.2 1B Instruct, the versatile Qwen2.5-7B on Novita AI — Claim Your $10 Free Credits By / May 28, 2025 / Updates / 3 minutes of reading We’re excited to announce that DeepSeek AI’s latest model, DeepSeek R1 0528, released today, is officially a",Yes,No,"Qwen, DeepSeek, Llama 3","By / May 24, 2025 / LLM / 5 minutes of reading To support the open-source AI community and accelerate innovation in natural language processing, Novita AI has made five powerful models freely accessib",Likely,Likely,API + Web,,2026-09-08,https://blogs.novita.ai/free-model; https://blogs.novita.ai/deepseek-r1-0528-now-available-on-novita-ai-claim-your-10-free-credits; https://buildaicurrent.com/credits/novita-sandbox-100
10,HuggingFace Inference API,https://huggingface.co,API Aggregator / Gateway,,"Rotating selection of open models ~1,000 RPD free tier No credit card required OpenAI-compatible router endpoint API Compatibility: Live-tested OpenAI-compatible Chat Completions and Responses Hugging Face Free Tier Limits & Pricing Credit Card Not required Phone Verification Not required Free Tier 4 free models online Context Range 128K – 131K Total Models 4 listed Rate Limits Credit-metered API",No,Yes,"Thousands of HF models: Llama, Mistral, Gemma, Phi, Qwen, DeepSeek, Mixtral, Falcon, CodeLlama, Solar, Yi, and 100,000+ more",Free tier: limited Inference API calls on CPU for free HF accounts. No CC required. Zero-GPU free tier available for some models.,Likely,Likely,API + Web,,2026-09-08,https://freellm.net/providers/hugging-face; https://freellmapi.co/free-gpt-oss-api
11,Replicate,https://replicate.com,API Aggregator / Gateway,,Research institution / company. Replicate provides AI models and/or tools. Check official website for current free tier offerings and pricing.,Yes,No,"Stable Diffusion SDXL, Flux, Image Gen models, LLMs (Llama, Mistral, Dolphin, Mixtral, Gemma), Whisper, custom models","Free tier: trial credits (~$5-10), pay-per-second GPU. No CC for basic trial. Paid for production.",Likely,Likely,API + Web,,2026-09-08,https://replicate.com/docs/topics/predictions/rate-limits; https://replicate.com/docs/topics/predictions; https://aicredits.dev/submissions/66-replicate-free-generations-for-new-users
